Hometown,lon,lat
"Birmingham, Ala.",-86.8103567,33.5185892
"Shreveport, La.",-93.7501789,32.5251516
"Boaz, Ala.",-86.15209689999999,34.2031662
"Cullman, Ala.",-86.8436124,34.1748208
"Mobile, Ala.",-88.0398912,30.6953657
"Pensacola, Fla.",-87.2169149,30.42130899999999
"Huntsville, Ala.",-86.5861037,34.7303688
"Scott, La.",-92.0945672,30.2357569
"Oxford, Miss.",-89.5188246,34.3659868
"Oxford, Ala.",-85.8349648,33.6142714
"Hoover, Ala.",-86.8113781,33.4053867
"Pinson, Ala.",-86.6833228,33.6889908
"Cantonment, Fla.",-87.34464919999999,30.6053644
"Salem, Ala.",-85.2385527,32.5968028
"Slaughter, La.",-91.14149580000002,30.7174063
"Vestavia Hills,                                                                Ala.",-86.7877668,33.4487183
"Phenix City, Ala.",-85.0007653,32.4709761
"Nashville, Tenn.",-86.7816016,36.1626638
"Irmo, S.C.",-81.1831513,34.0859829
"Jasper, Ala.",-87.2775053,33.8312185
"Odessa, Fla.",-82.5579537,28.1793926
"Kenner, La.",-90.2417434,29.9940924
"Madison, Miss.",-90.1153638,32.4618086
"Prattville, Ala.",-86.4596966,32.4640245
"Maylene, Ala.",-86.861656,33.2034492
"Tuscaloosa, Ala.",-87.56917349999999,33.2098407
"Florence, Ala.",-87.677251,34.79981
"Montgomery, Ala.",-86.3077368,32.3792233
"Headland, Ala.",-85.3421559,31.351284
"Aiken, S.C.",-81.7195533,33.5604168
"Northport, Ala.",-87.5772293,33.229007
"Atlanta, Ga.",-84.38768449999999,33.748752
"Royersford, Pa.",-75.5379639,40.1842688
"Fayetteville, N.C.",-78.87837739999999,35.0523673
"Troy, Ala.",-85.969951,31.8087678
"Columbia, Tenn.",-87.0352831,35.6150716
"Pelham, Ala.",-86.8099885,33.2856687
"Allen, Texas",-96.67055030000002,33.1031744
"Flowood, Miss.",-90.0927549,32.3380521
"Gadsden, Ala.",-86.0066386,34.014264
"Corpus Christi,Texas",-97.39638099999999,27.8005828
"Goodwater, Ala.",-86.0533013,33.065675
"Valley, Ala.",-85.1793852,32.8187406
"St. Louis, Mo.",-90.19940419999999,38.6270025
"Fort Worth, Texas",-97.3307658,32.7554883
"Watkinsville, Ga.",-83.4087708,33.8628959
"Cumming, Ga.",-84.14019259999999,34.2073196
"Germantown, Tenn.",-89.8100858,35.0867577
"Rogersville, Ala.",-87.2947417,34.8256425
"Tomball, Texas",-95.6160549,30.0971621
"Vestavia Hills, Ala.",-86.7877668,33.4487183
"Morris, Ala.",-86.8086048,33.7481576
"Helena, Ala.",-86.8436004,33.296224
"Coconut Creek, Fla.",-80.17893509999999,26.2517482
"Green Cove Springs, Fla.",-81.6781467,29.9919085
"Shelbyville, Tenn.",-86.46027169999999,35.483406
"Haymarket, Va.",-77.6363806,38.8120591
"Collierville, Tenn.",-89.689208,35.0460537
"Forney, Texas",-96.4719312,32.7481845
"Broomfield, Colo.",-105.0866504,39.9205411
"Ajax, Ontario",-79.0203732,43.8508553
"Middletown, N.J.",-74.09981789999999,40.3927801
"Mission Viejo, Calif.",-117.6581562,33.5968913
"Seattle, Wash.",-122.3328481,47.6061389
"Hamilton, Ga.",-84.87493110000001,32.7579106
"Semmes, Ala.",-88.2588731,30.7786677
"Lewisville, Texas",-96.9941903,33.0463292
"Stone Mountain, Ga.",-84.17019599999999,33.8081608
"Miamisburg, Ohio",-84.2866083,39.6428362
"Stafford, Texas",-95.55772209999999,29.6160671
"Mount Olive, Ala.",-86.8561047,33.6709369
"McCalla, Ala.",-87.0140057,33.345078
"Arlington, Tenn.",-89.661469,35.2961973
"Lakeland, Tenn.",-89.7403606,35.2306435
"Athens, Ala.",-86.9716741,34.8028661
"Okotoks, Alberta",-113.9749127,50.7255163
"McClelland, Iowa",-95.6836185,41.3305512
"Victoria, British Columbia",-123.3656444,48.4284207
"Brewton, Ala.",-87.0721918,31.1051779
"Smyrna, Ga.",-84.51437609999999,33.8839926
"Tomah, Wis.",-90.50402140000001,43.9785759
"San Diego, Calif.",-117.1610838,32.715738
"Montreal, Quebec",-73.56739189999999,45.5018869
"Niagara Falls, Ontario",-79.0849436,43.0895577
"Peachtree City, Ga.",-84.59634319999999,33.3968557
"Longwood, Fla.",-81.3384011,28.7030519
"Haleyville, Ala.",-87.6214133,34.226488
"Brentwood, Tenn.",-86.78277720000001,36.0331164
"Dade City, Fla.",-82.1959178,28.3647248
"Mountain Brook, Ala.",-86.75221069999999,33.5009384
"Madison, Ala.",-86.74833180000002,34.6992579
"Warrior, Ala.",-86.8094394,33.8142682
"Greenwood, Ind.",-86.10665259999999,39.6136578
"New Market, Ala.",-86.42776769999999,34.9100883
"Louisville, Ky.",-85.7584557,38.2526647
"Memphis, Tenn.",-90.0489801,35.1495343
"Suwanee, Ga.",-84.0712997,34.0514898
"Doniphan, Mo.",-90.82345509999999,36.6208917
"Gainesville, Fla.",-82.324998,29.6519563
"Gilbert, Ariz.",-111.789027,33.3528264
"Waynesboro, Miss.",-88.6461465,31.674883
"Hodges, Ala.",-87.9264233,34.3270425
"San Antonio, Texas",-98.4945922,29.4251905
"Trussville, Ala.",-86.60887559999999,33.6198251
"Monroe, La.",-92.1193012,32.5093109
"Nokomis, Fla.",-82.4442629,27.1192213
"Lake Worth, Fla.",-80.0684479,26.6167555
"Lithia, Fla.",-82.1496049,27.8187623
"Snellville, Ga.",-84.0199108,33.857328
"Mill Hall, Pa.",-77.48443,41.10729
"Wellesley, Mass.",-71.29238769999999,42.296797
"Lebanon, Tenn.",-86.2911024,36.2081098
"Dallas, Ga.",-84.8413056,33.9244531
"Billings, Mont.",-108.5006904,45.7832856
"Charleston, Ill.",-88.1761521,39.4961458
"Santa Barbara, Calif.",-119.6981901,34.4208305
"Panama City, Fla.",-85.6602058,30.1588129
"Lexington, Neb.",-99.74150449999999,40.7808398
"Bessemer, Ala.",-86.954437,33.4017766
"Opelika, Ala.",-85.3782795,32.6454116
"Sinking Spring, Pa.",-76.01104889999999,40.3273146
"Plainville, Ga.",-85.03716829999999,34.4050895
"Tallahassee, Fla.",-84.28062349999999,30.4381828
"Trinity, Ala.",-87.0883458,34.6067588
"Hamburg, N.Y.",-78.8294768,42.7158927
"Sterrett, Ala.",-86.47998199999999,33.448718
"Hueytown, Ala.",-86.9966606,33.4512197
"North Royalton, Ohio",-81.7245739,41.3136644
"Doniphan, Neb.",-98.36950689999999,40.7719572
"Fairfax, Va.",-77.30637329999999,38.84622359999999
"St. Joseph, Ill.",-88.04170479999999,40.1117007
"Kalamazoo, Mich.",-85.5872286,42.2917069
"Kindred, N.D.",-97.0170323,46.6485779
"Hartselle, Ala.",-86.9352842,34.4434282
"Danville, Ala.",-87.08751199999999,34.4145408
"Humboldt, Iowa",-94.2152402,42.7208047
"Phoenix, Ariz.",-112.0740373,33.4483771
"Franklin, Tenn.",-86.8688899,35.9250637
"Jackson, Tenn.",-88.81394689999999,35.6145169
"Dothan, Ala.",-85.3904888,31.2232313
"Three Rivers, Mich.",-85.632493,41.9439368
"Douglasville, Ga.",-84.7477136,33.7514966
